DENOMINACIÓN;LOCALIDAD;PROVINCIA;FECHA DE CELEBRACION DE LA FIESTA ;FECHA_Resolucion;FIESTAS_de_interes_turistico;FIESTAS_INTERES_REGIONAL;FECHA_BOE;FECHA_ACTUALIZACION_BOE;OBSERVACIONES
FERIAS Y FIESTAS;MUNERA;ALBACETE;del 20 al 25 septiembre;19/07/2022;;12/08/2022;;;
ROMERÍA DE LA MILAGRA;NAVAHERMOSA;TOLEDO;Tercer domingo de mayo;27/05/2016;;10/06/2016;;;El tercer fin de semana de mayo
ENCUENTRO DE CUADRILLAS;NERPIO ;ALBACETE;febrero;08/01/2018;;24/01/2018;;;febrero
FERIA DE LA NUEZ Y PRODUCTOS TRADICIONALES;NERPIO ;ALBACETE;2ª quincena de noviembre;08/09/2022;;24/10/2022;;;
SEMANA SANTA;NOVÉS;TOLEDO;Fecha variable según calendario nacional;06/05/2021;;17/05/2021;;;
SEMANA SANTA;OCAÑA;TOLEDO;Fecha variable según calendario nacional;27/11/1991;;27/11/1991;X;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
FIESTA DE PRIMAVERA;ORGAZ;TOLEDO;último fin de semana de mayo;26/02/2019;;11/03/2019;;;
JORNADAS MEDIEVALES;OROPESA;TOLEDO;mes de abril;29/12/2014;;07/01/2015;;;Mes de abril, no coincidiendo con Semana Santa
FESTIVAL DUCAL;PASTRANA;GUADALAJARA;Tercer fin de semana de julio;08/06/2021;;12/07/2021;;;
LA FIESTA DEL MAYO MANCHEGO;PEDRO MUÑOZ;CIUDAD REAL;Del 30 de abril al 1 de mayo;26/04/2019;;10/07/1992;10/05/2019;;
ROMERÍA DEL STMO. CRISTO DEL SAHÚCO;PEÑAS DE SAN PEDRO;ALBACETE;Primer domingo de mayo;05/05/2010;;28/05/2010;;;Primer lunes de Pentecostés y 28 de agosto
FIESTA DE CRUCES Y MAYOS;PIEDRABUENA;CIUDAD REAL;Mes de mayo;30/01/2017;;24/04/2017;;;mayo
CORPUS CHRISTI;PORZUNA;CIUDAD REAL;Fecha variable según calendario nacional;17/06/2014;;07/07/2014;;;
SEMANA SANTA;POZO CAÑADA;ALBACETE;Fecha variable según calendario nacional;16/03/2018;;23/03/2018;;;fecha variable según calendario litúrgico
FIESTA DEL SANTO VOTO;PUERTOLLANO;CIUDAD REAL;48 días después del domingo de Resurrección;08/04/1999;;23/04/1999;;;45 días después del Domingo de Resurrección
SEMANA SANTA ;QUINTANAR DE LA ORDEN;TOLEDO;Fecha variable según calendario nacional.;08/03/2007;;21/03/2007;;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
FIESTA DE RUS;SAN CLEMENTE;CUENCA;Fecha variable según calendario nacional;03/01/2000;;25/01/2000;;;Lunes de Pentecostés
FIESTA DE LA VACA;SAN PABLO DE LOS MONTES;TOLEDO;24 y 25 de enero;28/03/1994;;15/04/1994;;;
ROMERÍA DE NTRA. SRA. DE LAS VIRTUDES ;SANTA CRUZ DE MUDELA;CIUDAD REAL;8 de septiembre;02/06/2014;;12/06/2014;;;
LA PROCESIÓN DE LOS FAROLES;SIGÜENZA;GUADALAJARA;Domingo siguiente al 15 de agosto;15/11/2005;;13/12/2005;;;Domingo siguiente a San Roque (16/08).
FIESTA DE LAS MONDAS;TALAVERA DE LA REINA;TOLEDO;Sábado posterior al Domingo de Resurrección. Fecha variable;28/12/2009;;X;01/02/2010;;Sábado siguiente a Semana Santa
SEMANA SANTA ;TALAVERA DE LA REINA;TOLEDO;Fecha variable según calendario nacional;08/03/2007;;21/03/2007;;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
PASIÓN VIVIENTE;TARANCÓN;CUENCA;Fecha variable según calendario nacional;21/12/1995;;19/01/1996;;;Sábado de Gloria
SEMANA SANTA;TARANCÓN;CUENCA;Fecha variable según calendario nacional;09/03/2010;;15/03/2010;;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
CARNAVAL;TARAZONA DE LA MANCHA;ALBACETE;Fecha variable según calendario nacional;16/01/2013;;22/02/2013;;;
FIESTAS PATRONALES DE SAN BARTOLOMÉ APÓSTOL;TARAZONA DE LA MANCHA;ALBACETE;24 de agosto;12/04/1973;16/02/1980;;;;
FERIA DE LAS MERCADERÍAS;TENDILLA;GUADALAJARA;25-26 de febrero;08/02/2013;;06/03/2013;;;Fin de semana más próximo al 24 de febrero
ROMERIA DE SAN ISIDRO;TERRINCHES;CIUDAD REAL;mes de mayo;01/02/2019;;11/02/2019;;;
SEMANA SANTA;TOBARRA;ALBACETE;Fecha variable según calendario nacional;06/06/1984;;X;16/05/1988;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
CORPUS CHRISTI;TOLEDO;TOLEDO;Fecha variable según calendario nacional;25/01/1965;;X;X;16/02/1980;Fecha variable
SEMANA SANTA ;TOLEDO;TOLEDO;Fecha variable según calendario nacional;16/06/1992 - 27/02/2014;;10/07/1992;X;14/03/2014;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
ROMERÍA EN HONOR DE LA STMA. VIRGEN DE LAS VIÑAS;TOMELLOSO;CIUDAD REAL;Último fin de semana de abril;29/08/2014;;09/09/2014;;;Último fin de semana de abril
CERTAMEN DE RONDAS TRADICIONALES NAVIDEÑAS;TORIJA;GUADALAJARA;23-31 de diciembre;17/12/2015;;23/12/2015;;;
LA BORRICÁ;TORRENUEVA;CIUDAD REAL;Martes de carnaval. Fecha variable.;30/04/2014;;20/05/2014;;;Martes de Carnaval
ENCIERRO DE LA CHARCUELA;UCEDA;GUADALAJARA;17 de agosto;19/07/2022;;10/08/2022;;;
STMO. CRISTO DE URDA;URDA;TOLEDO;29 de septiembre;11/03/2015;;24/03/2015;;;Feria y fiestas: del 27 de septiembre al 1 de octubre
STO. NIÑO PERDIDO Y LA BOTARGA;VALDENUÑO FERNÁNDEZ;GUADALAJARA;ENERO;10/12/2018;;18/12/2018;;;
FIESTAS DE LA VENDIMIA;VALDEPEÑAS;CIUDAD REAL;Primera semana de septiembre;28/07/1977;16/02/1980;;;;
CARNAVAL RELIGIOSO DE ÁNIMAS;VALDEVERDEJA;TOLEDO;FEBRERO;08/01/2018;;24/01/2018;;;FEBRERO
JORNADAS ROMANAS;VALERIA;CUENCA;agosto;25/10/2018;;31/10/2018;;;
FIESTA DE MOROS Y CRISTIANOS;VALVERDE DE JÚCAR;CUENCA;Del 5 al 10 de enero;28/07/1986;;05/08/1986;;;
DANZAS DE LA OCTAVA DEL CORPUS;VALVERDE DE LOS ARROYOS;GUADALAJARA;Fecha variable según calendario nacional;11/02/1986;16/02/1980;18/02/1986;;;Domingo siguiente al Corpus (la octava del Corpus)
RUTA DE LA PASIÓN DE CALATRAVA;VARIOS MUNICIPIOS DE CIUDAD REAL: ALDEA DEL REY, ALMAGRO, BOLAÑOS DE CALATRAVA, CARRIÓN DE CTVA., GRANÁTULA DE CTVA., BALLESTEROS DE CTVA., POZUELO DE CTVA., MIGUELTURRA, TORRALBA DE CTVA. Y VALENZUELA DE CTVA..;CIUDAD REAL;Fecha variable según calendario nacional;08/03/2007;06/09/2016;21/03/2007;19/09/2016;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
